"id","organization","category","best_ask","fit_angle","url","status"
"1","UNESCO","UN/culture","partnership or youth culture program","Culture and heritage preservation with youth-led digital tools","https://www.unesco.org/","needs verification"
"2","UNESCO Global Youth Grant Scheme","UN/youth grants","grant or youth pilot","Youth-led social impact and cultural memory preservation","https://www.unesco.org/en/youth/global-grant-scheme","needs verification"
"3","UNESCO World Heritage Centre","UN/heritage","partnership or visibility","Digital preservation for cultural and heritage sites","https://whc.unesco.org/","needs verification"
"4","UNESCO Rapid Response Facility","UN/heritage conservation","grant partner referral","At-risk heritage and rapid documentation before loss","https://whc.unesco.org/en/rapidresponse","needs verification"
"5","United Nations Alliance of Civilizations","UN/intercultural","visibility and youth program","Intercultural and interreligious dialogue through living 3D memories","https://www.unaoc.org/","needs verification"
"6","PLURAL+ Youth Video Festival","UN/youth media","video competition","Youth film about AI and cultural memory","https://pluralplus.unaoc.org/","in progress"
"7","UNDP Innovation Facility","UN/innovation","pilot partnership","AI for community-led heritage and social cohesion","https://www.undp.org/","needs verification"
"8","UNICEF Innovation","UN/youth innovation","youth innovation partner","Student-led learning and memory archive for young people","https://www.unicef.org/innovation/","needs verification"
"9","UN-Habitat Urban Youth Fund","UN/youth urban grants","grant","Urban memory preservation led by youth in developing cities","https://unhabitat.org/urban-youth-fund","needs verification"
"10","ITU AI for Good","UN/AI","showcase or impact award","AI spatial reconstruction for culture and education","https://aiforgood.itu.int/","needs verification"
"11","United Nations Volunteers","UN/volunteer network","partner network","Volunteer-based footage capture for community archive","https://www.unv.org/","needs verification"
"12","UNITAR","UN/training","education partnership","Training students to preserve local heritage in 3D","https://unitar.org/","needs verification"
"13","UNOPS Innovation","UN/project services","implementation partner","Cloud-based infrastructure for heritage documentation","https://www.unops.org/","needs verification"
"14","UNFPA Youth","UN/youth","youth story partnership","Youth identity and memory through culture","https://www.unfpa.org/youth","needs verification"
"15","UN SDG Action Campaign","UN/SDG visibility","campaign feature","SDG 4 11 16 cultural inclusion and education","https://sdgactioncampaign.org/","needs verification"
"16","SDSN Youth SDG Innovation Fund","UN-linked youth","grant","Youth-led SDG innovation and cultural resilience","https://www.sdsnyouth.org/seedfund/sdg-youth-innovation-fund","needs verification"
"17","World Bank Youth Summit","intergovernmental/youth","pitch or network","Youth social innovation preserving places through AI","https://www.worldbank.org/en/events/2025/12/01/youth-summit-2026","needs verification"
"18","IOM Innovation Facility","intergovernmental/migration","partnership","Memory preservation for displaced communities without exploitation","https://innovation.iom.int/","needs verification"
"19","ICCROM","intergovernmental/heritage","heritage partner","Cultural heritage conservation training and digital preservation","https://www.iccrom.org/","needs verification"
"20","ICOMOS","heritage NGO","expert partner","Cultural site preservation and documentation standards","https://www.icomos.org/","needs verification"
"21","IUCN","conservation NGO","heritage/nature partner","Cultural-natural places at risk and community documentation","https://www.iucn.org/","needs verification"
"22","ALIPH Foundation","heritage funder","grant or partner","Protecting heritage threatened by conflict and disaster","https://www.aliph-foundation.org/","needs verification"
"23","World Monuments Fund","heritage funder","partner or watch nomination","Digital documentation of threatened cultural spaces","https://www.wmf.org/","needs verification"
